Epoch [150/450], Loss-Train: 0.1646, Accuracy-Train: 0.9324, Loss-Test: 0.1781, Accuracy-Test: 0.9303
Epoch [151/450], Loss-Train: 0.1581, Accuracy-Train: 0.9302, Loss-Test: 0.1778, Accuracy-Test: 0.9303
Epoch [152/450], Loss-Train: 0.1651, Accuracy-Train: 0.9268, Loss-Test: 0.1782, Accuracy-Test: 0.9273
Epoch [153/450], Loss-Train: 0.1644, Accuracy-Train: 0.9309, Loss-Test: 0.1715, Accuracy-Test: 0.9303
Epoch [154/450], Loss-Train: 0.1608, Accuracy-Train: 0.9339, Loss-Test: 0.1792, Accuracy-Test: 0.9318
Epoch [155/450], Loss-Train: 0.1579, Accuracy-Train: 0.9368, Loss-Test: 0.1798, Accuracy-Test: 0.9303
Epoch [156/450], Loss-Train: 0.1604, Accuracy-Train: 0.9350, Loss-Test: 0.1794, Accuracy-Test: 0.9318
Epoch [157/450], Loss-Train: 0.1546, Accuracy-Train: 0.9335, Loss-Test: 0.1801, Accuracy-Test: 0.9288
Epoch [158/450], Loss-Train: 0.1647, Accuracy-Train: 0.9324, Loss-Test: 0.1721, Accuracy-Test: 0.9362
Epoch [159/450], Loss-Train: 0.1625, Accuracy-Train: 0.9342, Loss-Test: 0.1720, Accuracy-Test: 0.9332
Epoch [160/450], Loss-Train: 0.1595, Accuracy-Train: 0.9387, Loss-Test: 0.1805, Accuracy-Test: 0.9303
Epoch [161/450], Loss-Train: 0.1656, Accuracy-Train: 0.9339, Loss-Test: 0.1714, Accuracy-Test: 0.9318
Epoch [162/450], Loss-Train: 0.1636, Accuracy-Train: 0.9287, Loss-Test: 0.1806, Accuracy-Test: 0.9318
Epoch [163/450], Loss-Train: 0.1585, Accuracy-Train: 0.9335, Loss-Test: 0.2130, Accuracy-Test: 0.9228
Epoch [164/450], Loss-Train: 0.1684, Accuracy-Train: 0.9290, Loss-Test: 0.1833, Accuracy-Test: 0.9273
Epoch [165/450], Loss-Train: 0.1626, Accuracy-Train: 0.9309, Loss-Test: 0.1733, Accuracy-Test: 0.9288
Epoch [166/450], Loss-Train: 0.1579, Accuracy-Train: 0.9357, Loss-Test: 0.1740, Accuracy-Test: 0.9288
Epoch [167/450], Loss-Train: 0.1683, Accuracy-Train: 0.9290, Loss-Test: 0.1774, Accuracy-Test: 0.9303
Epoch [168/450], Loss-Train: 0.1586, Accuracy-Train: 0.9350, Loss-Test: 0.1842, Accuracy-Test: 0.9288
Epoch [169/450], Loss-Train: 0.1640, Accuracy-Train: 0.9335, Loss-Test: 0.1702, Accuracy-Test: 0.9407
Epoch [170/450], Loss-Train: 0.1626, Accuracy-Train: 0.9316, Loss-Test: 0.1874, Accuracy-Test: 0.9243
Epoch [171/450], Loss-Train: 0.1713, Accuracy-Train: 0.9264, Loss-Test: 0.1755, Accuracy-Test: 0.9347
Epoch [172/450], Loss-Train: 0.1680, Accuracy-Train: 0.9328, Loss-Test: 0.1771, Accuracy-Test: 0.9288
Epoch [173/450], Loss-Train: 0.1609, Accuracy-Train: 0.9361, Loss-Test: 0.1891, Accuracy-Test: 0.9273
Epoch [174/450], Loss-Train: 0.1644, Accuracy-Train: 0.9324, Loss-Test: 0.1719, Accuracy-Test: 0.9303
Epoch [175/450], Loss-Train: 0.1609, Accuracy-Train: 0.9335, Loss-Test: 0.1836, Accuracy-Test: 0.9318
Epoch [176/450], Loss-Train: 0.1564, Accuracy-Train: 0.9357, Loss-Test: 0.1721, Accuracy-Test: 0.9332
Epoch [177/450], Loss-Train: 0.1660, Accuracy-Train: 0.9290, Loss-Test: 0.1954, Accuracy-Test: 0.9214
Epoch [178/450], Loss-Train: 0.1625, Accuracy-Train: 0.9302, Loss-Test: 0.1785, Accuracy-Test: 0.9303
Epoch [179/450], Loss-Train: 0.1641, Accuracy-Train: 0.9357, Loss-Test: 0.1879, Accuracy-Test: 0.9288
Epoch [180/450], Loss-Train: 0.1599, Accuracy-Train: 0.9287, Loss-Test: 0.1748, Accuracy-Test: 0.9318
Epoch [181/450], Loss-Train: 0.1718, Accuracy-Train: 0.9279, Loss-Test: 0.1824, Accuracy-Test: 0.9273
Epoch [182/450], Loss-Train: 0.1619, Accuracy-Train: 0.9287, Loss-Test: 0.1844, Accuracy-Test: 0.9332
Epoch [183/450], Loss-Train: 0.1645, Accuracy-Train: 0.9305, Loss-Test: 0.1796, Accuracy-Test: 0.9288
Epoch [184/450], Loss-Train: 0.1615, Accuracy-Train: 0.9309, Loss-Test: 0.1798, Accuracy-Test: 0.9288
Epoch [185/450], Loss-Train: 0.1608, Accuracy-Train: 0.9335, Loss-Test: 0.1749, Accuracy-Test: 0.9332
Epoch [186/450], Loss-Train: 0.1644, Accuracy-Train: 0.9309, Loss-Test: 0.1755, Accuracy-Test: 0.9318
Epoch [187/450], Loss-Train: 0.1644, Accuracy-Train: 0.9316, Loss-Test: 0.1806, Accuracy-Test: 0.9332
Epoch [188/450], Loss-Train: 0.1610, Accuracy-Train: 0.9313, Loss-Test: 0.1713, Accuracy-Test: 0.9288
Epoch [189/450], Loss-Train: 0.1738, Accuracy-Train: 0.9253, Loss-Test: 0.1753, Accuracy-Test: 0.9288
Epoch [190/450], Loss-Train: 0.1742, Accuracy-Train: 0.9246, Loss-Test: 0.1861, Accuracy-Test: 0.9288
Epoch [191/450], Loss-Train: 0.1648, Accuracy-Train: 0.9287, Loss-Test: 0.1782, Accuracy-Test: 0.9273
Epoch [192/450], Loss-Train: 0.1645, Accuracy-Train: 0.9290, Loss-Test: 0.1723, Accuracy-Test: 0.9303
Epoch [193/450], Loss-Train: 0.1649, Accuracy-Train: 0.9331, Loss-Test: 0.1801, Accuracy-Test: 0.9318
Epoch [194/450], Loss-Train: 0.1691, Accuracy-Train: 0.9302, Loss-Test: 0.1793, Accuracy-Test: 0.9318
Epoch [195/450], Loss-Train: 0.1552, Accuracy-Train: 0.9328, Loss-Test: 0.1768, Accuracy-Test: 0.9318
Epoch [196/450], Loss-Train: 0.1572, Accuracy-Train: 0.9372, Loss-Test: 0.1930, Accuracy-Test: 0.9228
Epoch [197/450], Loss-Train: 0.1654, Accuracy-Train: 0.9302, Loss-Test: 0.1745, Accuracy-Test: 0.9318
Epoch [198/450], Loss-Train: 0.1619, Accuracy-Train: 0.9309, Loss-Test: 0.1805, Accuracy-Test: 0.9288
Epoch [199/450], Loss-Train: 0.1609, Accuracy-Train: 0.9328, Loss-Test: 0.1776, Accuracy-Test: 0.9347
Epoch [200/450], Loss-Train: 0.1675, Accuracy-Train: 0.9302, Loss-Test: 0.1784, Accuracy-Test: 0.9288
Epoch [201/450], Loss-Train: 0.1617, Accuracy-Train: 0.9357, Loss-Test: 0.1792, Accuracy-Test: 0.9332
Epoch [202/450], Loss-Train: 0.1578, Accuracy-Train: 0.9324, Loss-Test: 0.1798, Accuracy-Test: 0.9347
Epoch [203/450], Loss-Train: 0.1720, Accuracy-Train: 0.9235, Loss-Test: 0.1845, Accuracy-Test: 0.9243
Epoch [204/450], Loss-Train: 0.1662, Accuracy-Train: 0.9283, Loss-Test: 0.1863, Accuracy-Test: 0.9243
Epoch [205/450], Loss-Train: 0.1635, Accuracy-Train: 0.9331, Loss-Test: 0.1700, Accuracy-Test: 0.9318
Epoch [206/450], Loss-Train: 0.1577, Accuracy-Train: 0.9313, Loss-Test: 0.1715, Accuracy-Test: 0.9318
Epoch [207/450], Loss-Train: 0.1661, Accuracy-Train: 0.9253, Loss-Test: 0.2118, Accuracy-Test: 0.9110
Epoch [208/450], Loss-Train: 0.1722, Accuracy-Train: 0.9212, Loss-Test: 0.1801, Accuracy-Test: 0.9318
